"","pop","nInd","nLoc","nLoc.adj","polyLoc","monoLoc","all_NALoc","Ho","HoSD","Ho.adj","Ho.adjSD","He","HeSD","uHe","uHeSD","He.adj","He.adjSD","FIS"
"embu","embu",3,3703,1,3429,274,0,0.335763795121073,0.273090461279546,0.335763795121073,0.273090461279546,0.389924,0.136082,0.467909,0.163298,0.38992409,0.13608189,0.28241631396691
"kiambu","kiambu",10,3703,1,3703,0,0,0.263975155279503,0.130591355111243,0.263975155279503,0.130591355111243,0.463369,0.050203,0.487757,0.052845,0.46336889,0.05020299,0.458797509113532
"kilifi","kilifi",1,3703,1,1252,2451,0,0.338104239805563,0.47312811570917,0.338104239805563,0.47312811570917,0.169052,0.236564,0.338104,0.473128,0.16905212,0.23656406,0
"kwale","kwale",2,3703,1,2858,845,0,0.334323521469079,0.332023688898158,0.334323521469079,0.332023688898158,0.329733,0.187318,0.439644,0.249758,0.32973265,0.18731839,0.23955773955774
"machakos","machakos",9,3703,1,3703,0,0,0.335343715305908,0.157111363146971,0.335343715305908,0.157111363146971,0.463741,0.048769,0.49102,0.051638,0.46374144,0.04876947,0.317047219186749
"meru","meru",1,3703,1,1222,2481,0,0.330002700513097,0.470277197925263,0.330002700513097,0.470277197925263,0.165001,0.235139,0.330003,0.470277,0.16500135,0.2351386,0
"muranga","muranga",5,3703,1,3671,32,0,0.33891439373481,0.210721815143362,0.33891439373481,0.210721815143362,0.432422,0.087268,0.480469,0.096965,0.43242236,0.08726806,0.294617988334187
"nyeri","nyeri",1,3703,1,1246,2457,0,0.33648393194707,0.472570422375602,0.33648393194707,0.472570422375602,0.168242,0.236285,0.336484,0.47257,0.16824197,0.23628521,0
